src_ip,dst_ip,src_port,dst_port,protocol,packet_size,packet_count,data_transferred,session_duration,tcp_flags,device_id,os_version,app_usage,file_access,system_calls,cpu_usage,memory_usage,login_attempts,failed_logins,location_changes,unusual_activity,suspicious_processes,malicious_urls,malicious_files,exploit_attempts,label
192.168.98.106,10.182.100.225,43464,30068,ICMP,-1.658752449788042,-0.8801526636467041,0.8833390914011546,1.3130715237264918,PSH,device1,Android10,36,22,766,91,0.531266024919225,-0.5166762867888236,1.4248780955729297,1.2019575083697862,-1.0050125627355517,-0.9902475528292576,1.0072261076390696,-1.0014009813734428,1.0024028869244714,1
172.21.207.82,172.19.49.64,60747,47522,ICMP,-0.9950325621149269,0.38498991536233346,0.09866098820654647,1.0541824600152885,RST,device4,Windows7,67,6,173,56,0.8413474931790614,-1.2154068118937307,1.4248780955729297,1.2019575083697862,-1.0050125627355517,-0.9902475528292576,1.0072261076390696,-1.0014009813734428,1.0024028869244714,0
192.168.225.210,10.200.11.64,61539,27799,UDP,-1.5125903084593053,1.6852753437882888,0.14668840183228427,-0.46118152624095465,ACK,device4,iOS14,76,10,745,96,1.1169754649655825,1.230150025973444,0.7134705886714718,1.2019575083697862,-1.0050125627355517,1.009848494089057,-0.992825734376557,0.9986009786294385,1.0024028869244714,0
10.149.1.208,192.168.15.244,47715,45363,UDP,1.72214560619306,-1.161295458982046,-0.23476673948292817,-0.9547966743836489,SYN,device6,Android10,84,2,511,60,0.6346265143391705,-0.8660415493412772,0.002063081770014158,-0.019047680953442437,0.9950124377332081,-0.9902475528292576,1.0072261076390696,-1.0014009813734428,-0.9976028731004118,1
172.23.238.117,10.192.165.22,32171,22250,UDP,1.6862040960302558,-0.5990098683113624,1.598567481367178,0.30513010234420707,PSH,device4,iOS14,13,15,297,3,-0.5367923657535446,0.18205423831608342,-1.4207519320329012,-0.019047680953442437,0.9950124377332081,1.009848494089057,1.0072261076390696,-1.0014009813734428,-0.9976028731004118,0
172.19.185.221,10.168.91.14,37373,63710,ICMP,-1.6683368524981228,1.4744182472867824,1.3363170717129695,0.5812784369694906,SYN,device2,LinuxUbuntu,92,19,861,89,0.6001730178658553,-1.5647720744461842,0.002063081770014158,-0.019047680953442437,0.9950124377332081,1.009848494089057,1.0072261076390696,-1.0014009813734428,-0.9976028731004118,0
172.26.86.206,10.26.189.9,35718,55514,TCP,0.7780819392500733,-0.24758137414218534,-1.4582564635745652,0.32238937325828726,ACK,device4,Windows7,28,49,373,4,0.979161479072322,-0.8660415493412772,-1.4207519320329012,1.2019575083697862,-1.0050125627355517,-0.9902475528292576,1.0072261076390696,0.9986009786294385,-0.9976028731004118,1
192.168.25.131,10.93.229.64,21647,7686,TCP,-1.1387986027661432,-1.4072954049004698,1.4144048089749603,-0.5302186098972755,PSH,device5,Windows10,48,22,547,88,-0.2956178904403386,0.8807847634209904,0.002063081770014158,1.2019575083697862,-1.0050125627355517,-0.9902475528292576,-0.992825734376557,0.9986009786294385,-0.9976028731004118,0
10.168.136.167,172.20.133.174,51690,52189,ICMP,0.4042902335569111,-0.774724115395951,0.6117596157908676,0.1670559350315653,RST,device1,LinuxUbuntu,2,34,313,23,1.0136149755456372,-0.8660415493412772,-0.7093444251314436,1.2019575083697862,-1.0050125627355517,-0.9902475528292576,1.0072261076390696,0.9986009786294385,1.0024028869244714,1
192.168.32.18,192.168.25.51,42965,2458,TCP,-0.49903972186823087,-1.4424382543173875,0.9272202534908576,-1.2343968631917484,ACK,device5,LinuxUbuntu,1,40,481,17,0.6346265143391705,-0.5166762867888236,0.7134705886714718,1.2019575083697862,0.9950124377332081,-0.9902475528292576,1.0072261076390696,0.9986009786294385,-0.9976028731004118,0
